codigo_nif,nombre,cluster_modelo_negocio,PC1,PC2,cluster_label
B46821997,VEREMUNDO SILVESTRE JORDA SL,3,0.3854081156884475,0.4410849227306358,C3
B53807772,FERRE & FERRE ETIQUETES SL,3,0.32134543574769237,-0.20605841497376734,C3
A46228649,OLIVES GARCIA SA,3,-0.23358341756118955,0.8033525417047495,C3
B96921069,CIEVA SL,3,0.46911713331685423,0.04873861365544776,C3
A03160736,QIUB PACKAGING SA.,2,0.4321039506509297,-0.15455361894111258,C2
B97532568,OPTRON INGENIERIA SL,2,-0.3467324090242701,1.2796754970358635,C2
B02731685,MT PLASTICS QUALITY FILM SL,3,0.7716297988575173,-0.8280806166046522,C3
B53941217,SUMINISTROS Y MANIPULADOS TECNICOS SL,1,1.2357896893068578,0.06044905603733934,C1
B96218110,CATOTEX SL,2,0.8028126472246242,1.08255109871308,C2
A46109021,TALLERES CONSTRUCCIONES MECANICAS SA,3,-0.3752767264682188,-0.3926586310547442,C3
B03286192,CARTONAJES TORRALBA SL,3,0.06255567711211682,0.10242041080465467,C3
B96998349,ABONOS ORGANICOS MONTAGUD SL,1,2.750205818161711,-0.801951862679074,C1
B03250735,DEFORMAC SL,3,0.5923873460409143,0.9835812404843872,C3
B98596885,MEDITERRANEA LIFESTYLE SOCIEDAD LIMITADA.,2,-0.9324724836946335,0.5321150886099163,C2
B03821881,MUEBLES ORTS SL,2,-0.7183800393802584,0.5781845056568573,C2
B03048881,M CASTELLO JOVER SL,3,-0.06112596387405316,-1.174455253019304,C3
B54398839,PROTEC TEXTIL 1980 SL,1,1.0123416681195265,0.7808597907842089,C1
B03116076,CARLOS VALERO SL,1,1.0761068345170914,-0.6896782095799106,C1
A53560660,ALBERTO FERRE SA,2,0.2504122968916969,1.3904923499000597,C2
B67770990,DIBER SOLUCION INTEGRAL SL.,3,0.42478587144847296,-0.10034539917866914,C3
B03012903,HILATURAS SANCHIS SL,2,-0.3756182967289952,0.4908556522353738,C2
B53182622,SARABIA TOLMOS SL,3,1.0321164335527957,-1.477206227864602,C3
B53601811,DILEOFFICE SL,3,-0.1668695658000134,0.3091630724886032,C3
B53696647,INYECTADOS PLASTICMAN SL,3,0.6112303022550484,-1.3173279183527384,C3
A98628977,SALUSTAR LABORATORIOS SA.,3,1.163971738653827,-1.0704462927682379,C3
B53613634,COALCAFE SL,3,1.0385897904169397,-0.0006766755118367727,C3
B96120159,ROCHELTEX SL,1,2.3815623195147877,-0.6605001039795484,C1
B46131371,CERAMICAS ALONSO SL,1,2.3405288654024994,1.9695740778623925,C1
B46658589,EYSA CONFECCION SL,3,-0.10642847838797524,0.09475680646582786,C3
B13737648,RIBER SOLUCIONES TECNICAS SL.,3,0.7861998459351962,-1.225658564475549,C3
B53220125,HIDRAULICAS LA FOIA SL,3,0.9104563978157979,-2.4533331736908752,C3
B41520446,PUNT NOU SOCIEDAD LIMITADA,2,-0.8964786216329041,1.2738946998543252,C2
B03144979,MAQUINARIA E HIDRAULICA JOVISA SL,2,-0.5759591036633946,1.5626823094190903,C2
B54437629,ADHESIVAS IBI SOCIEDAD LIMITADA,2,-0.10248583491370898,0.24961284654927868,C2
B98196009,GRAFINOU BOCAIRENT SL,3,-1.0004820901483706,-0.5495031427845678,C3
B03449261,ANTECUIR SL,2,-0.9976042645600713,0.18043443923386662,C2
B03162310,PLASTICOS MIRAS SL,2,0.7539141017728022,1.2083801043904967,C2
B53254488,PLASTICOS REIG SL,1,1.2359950889038867,0.20056916774463174,C1
B80810641,FAPERIN SL,2,-0.02265472165823676,1.480773525997058,C2
B03978764,INTERIBI SL,1,1.4619243173120628,0.3025780572996842,C1
B53365458,AUXILIARES ONIL SL,3,0.4353015854205889,-1.0031046516976128,C3
A46070900,GACELA DE ORO SA,3,0.8701477560009042,-0.5744559574337627,C3
B96468301,PANIFICADORA BORDERIA SL,3,-0.8021744910317082,-0.2489523002413417,C3
B54057344,EXCELLENT CORK SL,1,1.7850241297876654,-1.0997793724336822,C1
B46481644,MLS TEXTILES 1992 SL.,2,-0.011664248126412417,0.7129539654489819,C2
